DistOd;TypeObject;Object_Code;ObjectName;Object_Code_T;Marker;Length;Width;Depth_min;Depth_max;OrientTD;OrientBD;MPoint_Orient;MPoint_Dist;Type_Def;DistML;DistMR;DistStL;DistStR;LinkStL;LinkStR;LinkML;LinkMR;Comments;Latitude;Longtitude;Altitude
84197380;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84197430;4;0;;ѕродольный шов;Ћќ∆№;;;;;12,06;;;;;;;;;;;;;;;;
84208930;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84208980;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,05;;;;;;;;;;;;;;;;
84220590;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84220640;4;0;;ѕродольный шов;Ћќ∆№;;;;;3,12;;;;;;;;;;;;;;;;
84231840;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84231890;4;0;;ѕродольный шов;Ћќ∆№;;;;;12,24;;;;;;;;;;;;;;;;
84242900;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84242950;4;0;;ѕродольный шов;Ћќ∆№;;;;;4,30;;;;;;;;;;;;;;;;
84254070;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84254120;4;0;;ѕродольный шов;Ћќ∆№;;;;;3,06;;;;;;;;;;;;;;;;
